Timestamp,Vibration (Hz)
2024-04-03 01:30:00,36.95255937358269
2024-04-03 01:55:00,47.23370646101952
2024-04-03 02:00:00,47.78582205295346
2024-04-03 02:45:00,38.60890614938451
2024-04-03 03:10:00,31.93509876506471
2024-04-03 03:25:00,39.99653991474613
2024-04-03 03:45:00,42.62794920041068
2024-04-03 04:35:00,27.21196738680521
2024-04-03 05:50:00,35.50095155678803
2024-04-03 06:20:00,46.77674682459424
2024-04-03 06:45:00,26.14040327171852
2024-04-03 07:00:00,29.946940972015813
2024-04-03 07:05:00,45.65090604859805
2024-04-03 07:10:00,26.21227427632565
2024-04-03 07:15:00,24.897495554101656
2024-04-03 07:35:00,32.28236215451055
2024-04-03 07:50:00,29.96573099346814
2024-04-03 08:15:00,26.528751044005933
2024-04-03 08:25:00,28.47417279110011
2024-04-03 08:40:00,40.87455522422159
2024-04-03 09:10:00,49.19234488916999
2024-04-03 09:30:00,38.88998833174496
2024-04-03 09:50:00,26.72880449855135
2024-04-03 10:20:00,29.758854020690933
2024-04-03 11:40:00,43.41895152276672
2024-04-03 12:30:00,35.41563392620303
2024-04-03 12:35:00,30.532914535814122
2024-04-03 12:40:00,31.078423106466232
2024-04-03 12:45:00,34.18018126182683
2024-04-03 12:55:00,39.83818900189591
2024-04-03 13:10:00,44.80938979603869
2024-04-03 13:25:00,45.85072711362036
2024-04-03 13:35:00,44.212127116001085
2024-04-03 14:00:00,45.69611671243781
2024-04-03 14:10:00,41.81170284846171
2024-04-03 14:15:00,36.862183832077136
2024-04-03 14:45:00,42.03331796226775
2024-04-03 14:55:00,20.75580241877688
2024-04-03 15:00:00,45.16991983154033
2024-04-03 15:10:00,41.11099338887153
2024-04-03 15:35:00,37.973651433868724
2024-04-03 15:40:00,36.39290948233542
2024-04-03 16:25:00,31.8966104596989
2024-04-03 16:50:00,39.58620140002964
2024-04-03 16:55:00,46.142421025725625
2024-04-03 18:10:00,38.63877347148831
2024-04-03 18:15:00,34.53329824520895
2024-04-03 18:25:00,32.13582156721609
2024-04-03 18:40:00,28.57274973778118
2024-04-03 18:45:00,32.98300638797788
2024-04-03 19:15:00,39.252031918956746
2024-04-03 19:30:00,42.98582122670025
2024-04-03 19:40:00,43.655139519951355
2024-04-03 20:05:00,41.453257269033934
2024-04-03 20:10:00,37.53979729589142
2024-04-03 20:35:00,32.10803007084774
2024-04-03 20:50:00,25.15795559390289
2024-04-03 21:10:00,19.062143620358928
2024-04-03 21:20:00,28.05601268202821
2024-04-03 21:55:00,48.54269662536698
2024-04-03 22:05:00,44.70557999730034
2024-04-03 22:15:00,38.70946334870799
2024-04-03 22:35:00,48.95046108363415
2024-04-03 22:40:00,27.52679137073308
2024-04-03 23:30:00,24.644858377931595
2024-04-03 23:40:00,31.528551850902993
2024-04-04 00:15:00,44.96069499680243
2024-04-04 00:20:00,52.11715897397129
2024-04-04 00:55:00,40.17381494075087
2024-04-04 01:10:00,20.24959826681576
2024-04-04 01:30:00,47.436459915456766
2024-04-04 01:50:00,63.1233677278088
